App_Store,Category,Type,Content_Rating,Avg_App_Price,Avg_review_count,Avg_User_Rating
Google,TRAVEL_AND_LOCAL,Paid,17+,4.1625,1506.083333,2.733333333
Google,Utilities,Free,12+,0,271920,4.2
Google,Utilities,Free,17+,0,11050.1125,3.66
Google,Utilities,Free,9+,0,3574,4.3
Google,Utilities,Paid,17+,4.49,1387.666667,1.533333333
Google,WEATHER,Free,12+,0,4413.5,4.45
Google,WEATHER,Free,17+,0,205344.1739,3.852173913
Google,WEATHER,Free,9+,0,260137,4.4
Google,WEATHER,Paid,17+,4.0525,17055.125,3.825
Apple,Book,Free,12+,0,194.4,2.6
Apple,Book,Free,17+,0,47.25,1.875
Apple,Book,Free,4+,0,63487.75,3.75
Apple,Book,Free,9+,0,47829,4.5
Apple,Book,Paid,12+,3.99,78,5
Apple,Book,Paid,17+,5.99,57,2
Apple,Book,Paid,4+,4.692702703,348.1351351,4
Apple,Book,Paid,9+,3.49,32,2.5
Apple,Business,Free,4+,0,7491.117647,3.970588235
Apple,Business,Paid,17+,4.99,1151.5,4.25
Apple,Business,Paid,4+,8.047142857,4093.2,3.857142857
Apple,Catalogs,Free,17+,0,6672.5,2.5
Apple,Catalogs,Free,4+,0,667.75,2.875
Apple,Catalogs,Paid,12+,7.99,1309,4.5
Apple,Education,Free,12+,0,3456.5,4
Apple,Education,Free,17+,0,0,0
Apple,Education,Free,4+,0,7341.581818,3.65
Apple,Education,Free,9+,0,2968.25,4
Apple,Education,Paid,12+,5.156666667,10.16666667,2.416666667
Apple,Education,Paid,17+,8.99,676.5,3.25
Apple,Education,Paid,4+,5.840174216,641.1881533,3.526132404
Apple,Education,Paid,9+,2.49,864.5,4.5
Apple,Entertainment,Free,12+,0,16676.47761,3.395522388
Apple,Entertainment,Free,17+,0,5617.609756,2.853658537
Apple,Entertainment,Free,4+,0,14303.29787,3.627659574
Apple,Entertainment,Free,9+,0,15314.69231,3.538461538
Apple,Entertainment,Paid,12+,1.83,1359.36,3.22
Apple,Entertainment,Paid,17+,2.14,694.1,3.425
Apple,Entertainment,Paid,4+,2.536875,813.0546875,3.41015625
Apple,Entertainment,Paid,9+,1.535454545,11986.72727,3.954545455
Apple,Finance,Free,17+,0,976,2.75
Apple,Finance,Free,4+,0,33261.67647,3.470588235
Apple,Finance,Paid,4+,2.836153846,882.8461538,3.461538462
Apple,Food & Drink,Free,12+,0,13993.25,4.0625
Apple,Food & Drink,Free,4+,0,34308.40909,3.522727273
Apple,Food & Drink,Paid,12+,4.99,765,4.75
Apple,Food & Drink,Paid,17+,4.59,571.4,3.1
Apple,Food & Drink,Paid,4+,3.262727273,549.4545455,3.727272727
Apple,Games,Free,12+,0,23094.9586,4.076433121
Apple,Games,Free,17+,0,26243.10294,3.764705882
Apple,Games,Free,4+,0,19413.78365,3.963666391
Apple,Games,Free,9+,0,32885.31788,4.107615894
Apple,Games,Paid,12+,3.819652997,5257.807571,4.148264984
Apple,Games,Paid,17+,4.077719298,18066.57895,3.956140351
Apple,Games,Paid,4+,2.708289086,6985.929204,3.926253687
Apple,Games,Paid,9+,4.064946467,5833.563169,4.206638116
Apple,Health & Fitness,Free,12+,0,23379.3,3.6
Apple,Health & Fitness,Free,17+,0,216.3333333,2.166666667
Apple,Health & Fitness,Free,4+,0,23712.7037,3.907407407
Apple,Health & Fitness,Paid,12+,3.767777778,3948.777778,4.333333333
Apple,Health & Fitness,Paid,17+,2.79,167,3.5
Apple,Health & Fitness,Paid,4+,3.294878049,2729.646341,3.829268293
Apple,Health & Fitness,Paid,9+,3.99,1556,3.8
Apple,Lifestyle,Free,12+,0,7914.714286,3.5
Apple,Lifestyle,Free,17+,0,16852.81818,3.045454545
Apple,Lifestyle,Free,4+,0,18672.3125,3.5
Apple,Lifestyle,Free,9+,0,1480.5,4.5
Apple,Lifestyle,Paid,12+,2.323333333,541.6666667,3.166666667
Apple,Lifestyle,Paid,17+,1.99,641.3333333,2.833333333
