App_Store,Category,Type,Content_Rating,Avg_App_Price,Avg_Review_Count,Avg_User_Rating
Apple,Productivity,Free,4+,0.0,22490.764705882353,4.098039215686274
Apple,Productivity,Free,9+,0.0,297.0,4.0
Apple,Productivity,Paid,12+,0.99,294.0,3.5
Apple,Productivity,Paid,17+,4.626363636363637,704.8181818181819,3.9545454545454546
Apple,Productivity,Paid,4+,7.219166666666667,2385.2083333333335,4.052083333333333
Apple,Productivity,Paid,9+,3.6566666666666667,4062.3333333333335,4.166666666666667
Apple,Reference,Free,12+,0.0,1727.0,3.0
Apple,Reference,Free,17+,0.0,417.0,3.75
Apple,Reference,Free,4+,0.0,121928.72727272728,4.2272727272727275
Apple,Reference,Paid,12+,2.275714285714286,190.85714285714286,3.2857142857142856
Apple,Reference,Paid,17+,2.99,74.0,3.75
Apple,Reference,Paid,4+,5.105384615384616,2929.5,4.115384615384615
Apple,Reference,Paid,9+,2.99,7410.0,4.0
Apple,Shopping,Free,12+,0.0,72678.2,3.933333333333333
Apple,Shopping,Free,17+,0.0,5804.0,2.8333333333333335
Apple,Shopping,Free,4+,0.0,17662.723076923077,3.8384615384615386
Apple,Shopping,Free,9+,0.0,2075.0,4.5
Apple,Shopping,Paid,4+,1.99,2722.0,4.5
Apple,Social Networking,Free,12+,0.0,53935.55172413793,3.4310344827586206
Apple,Social Networking,Free,17+,0.0,22839.722222222223,3.2916666666666665
Apple,Social Networking,Free,4+,0.0,118138.11363636363,3.6931818181818183
Apple,Social Networking,Free,9+,0.0,922.0,4.5
Apple,Social Networking,Paid,12+,0.9899999999999999,165.0,3.6666666666666665
Apple,Social Networking,Paid,17+,3.99,898.3333333333334,3.75
Apple,Social Networking,Paid,4+,2.24,186.16666666666666,2.6666666666666665
Apple,Sports,Free,12+,0.0,3999.909090909091,3.409090909090909
Apple,Sports,Free,17+,0.0,24142.916666666668,3.0
Apple,Sports,Free,4+,0.0,26678.72340425532,2.9361702127659575
Apple,Sports,Paid,12+,1.9900000000000002,30.75,3.375
Apple,Sports,Paid,17+,1.9900000000000002,113.33333333333333,3.1666666666666665
Apple,Sports,Paid,4+,3.5284615384615376,322.5,3.1923076923076925
Apple,Sports,Paid,9+,1.49,16.5,1.75
Apple,Travel,Free,12+,0.0,64886.75,3.75
Apple,Travel,Free,17+,0.0,145549.0,4.5
Apple,Travel,Free,4+,0.0,21948.636363636364,3.3333333333333335
Apple,Travel,Paid,12+,1.9900000000000002,318.3333333333333,4.5
Apple,Travel,Paid,4+,5.056666666666667,662.3333333333334,3.566666666666667
Apple,Travel,Paid,9+,2.99,1093.0,4.0
Apple,Utilities,Free,12+,0.0,10521.2,4.1
Apple,Utilities,Free,17+,0.0,39154.73333333333,3.966666666666667
Apple,Utilities,Free,4+,0.0,14715.22033898305,3.347457627118644
Apple,Utilities,Free,9+,0.0,1466.6,4.4
Apple,Utilities,Paid,12+,1.6566666666666665,194.58333333333334,2.625
Apple,Utilities,Paid,17+,2.3900000000000006,2294.45,3.325
Apple,Utilities,Paid,4+,3.3337500000000007,1306.2604166666667,3.25
Apple,Utilities,Paid,9+,1.8471428571428572,214.57142857142858,3.7857142857142856
Apple,Weather,Free,17+,0.0,22.0,3.5
Apple,Weather,Free,4+,0.0,52278.67857142857,3.357142857142857
Apple,Weather,Paid,12+,3.24,2028.0,4.0
Apple,Weather,Paid,17+,2.99,2104.0,4.5
Apple,Weather,Paid,4+,2.8185714285714285,3513.114285714286,3.8
